text_content,sender_domain,label
NVIDIA welcomes you to the internship program,sap.com,1
This is to certify your internship at Microsoft,google.com,1
Final selection list for internship at SAP,google.com,1
Final selection list for internship at SAP,sap.com,1
NVIDIA welcomes you to the internship program,amazon.com,1
Urgent: Confirm your internship slot now,intern-checks.net,0
"Limited-time internship offer, apply now",urgent-offer.net,0
This is to confirm your selection as a Data Science Intern at Amazon,amazon.com,1
Internship Confirmation Letter from IBM,intel.com,1
You have been officially accepted as a Microsoft intern,adobe.com,1
Internship Confirmation Letter from IBM,intel.com,1
You have been officially accepted as a Microsoft intern,ibm.com,1
Final selection list for internship at SAP,google.com,1
Offer letter for Summer Internship at Adobe,nvidia.com,1
This is to confirm your selection as a Data Science Intern at Amazon,amazon.com,1
Internship joining instructions from Intel,microsoft.com,1
"Congratulations, you're selected for internship",intern-portal.org,0
Internship joining instructions from Intel,sap.com,1
Welcome to the Google Summer Internship Program,microsoft.com,1
You have been officially accepted as a Microsoft intern,sap.com,1
"Limited-time internship offer, apply now",internship-certificate.xyz,0
Final selection list for internship at SAP,sap.com,1
Verify your credentials to unlock internship offer,urgent-offer.net,0
This is to confirm your selection as a Data Science Intern at Amazon,ibm.com,1
Internship opportunity confirmation from Oracle,nvidia.com,1
Offer letter for Summer Internship at Adobe,adobe.com,1
Urgent: Confirm your internship slot now,internship-certificate.xyz,0
Click the link to claim your internship opportunity,internship-certificate.xyz,0
"Limited-time internship offer, apply now",intern-checks.net,0
Kindly pay a processing fee to confirm your internship,internship-certificate.xyz,0
Internship joining instructions from Intel,nvidia.com,1
This is to confirm your selection as a Data Science Intern at Amazon,amazon.com,1
This is to confirm your selection as a Data Science Intern at Amazon,ibm.com,1
Internship opportunity confirmation from Oracle,intel.com,1
"Congratulations, you're selected for internship",hr-google.com,0
Urgent: Confirm your internship slot now,intern-portal.org,0
You have been officially accepted as a Microsoft intern,sap.com,1
Internship Confirmation Letter from IBM,sap.com,1
NVIDIA welcomes you to the internship program,intel.com,1
You have been officially accepted as a Microsoft intern,adobe.com,1
Final reminder to complete your internship registration,jobs-securelink.co,0
Kindly pay a processing fee to confirm your internship,careerupdate.online,0
Urgent: Confirm your internship slot now,jobs-securelink.co,0
Final selection list for internship at SAP,oracle.com,1
Welcome to the Google Summer Internship Program,google.com,1
You have been officially accepted as a Microsoft intern,ibm.com,1
Offer letter for Summer Internship at Adobe,google.com,1
This is to certify your internship at Microsoft,amazon.com,1
Click the link to claim your internship opportunity,internmail.cc,0
Urgent: Confirm your internship slot now,hr-google.com,0
Internship opportunity confirmation from Oracle,intel.com,1
NVIDIA welcomes you to the internship program,oracle.com,1
This is to certify your internship at Microsoft,nvidia.com,1
This is to certify your internship at Microsoft,oracle.com,1
Final reminder to complete your internship registration,internmail.cc,0
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
Internship joining instructions from Intel,sap.com,1
Welcome to the Google Summer Internship Program,adobe.com,1
"Congratulations, you're selected for internship",careerupdate.online,0
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
This is to confirm your selection as a Data Science Intern at Amazon,amazon.com,1
NVIDIA welcomes you to the internship program,amazon.com,1
Pay ₹999 to receive your certificate,intern-checks.net,0
Offer letter for Summer Internship at Adobe,sap.com,1
"Limited-time internship offer, apply now",careerupdate.online,0
Internship joining instructions from Intel,amazon.com,1
This is to confirm your selection as a Data Science Intern at Amazon,oracle.com,1
Internship opportunity confirmation from Oracle,sap.com,1
Pay ₹999 to receive your certificate,verify-now.info,0
Verify your credentials to unlock internship offer,internmail.cc,0
Pay ₹999 to receive your certificate,urgent-offer.net,0
Internship Confirmation Letter from IBM,nvidia.com,1
Internship joining instructions from Intel,oracle.com,1
Internship offer pending your response,urgent-offer.net,0
"Limited-time internship offer, apply now",intern-portal.org,0
Welcome to the Google Summer Internship Program,ibm.com,1
Urgent: Confirm your internship slot now,intern-checks.net,0
Final reminder to complete your internship registration,urgent-offer.net,0
Kindly pay a processing fee to confirm your internship,intern-portal.org,0
Welcome to the Google Summer Internship Program,amazon.com,1
"Limited-time internship offer, apply now",intern-checks.net,0
Verify your credentials to unlock internship offer,hr-google.com,0
Internship offer pending your response,intern-checks.net,0
Internship Confirmation Letter from IBM,google.com,1
NVIDIA welcomes you to the internship program,microsoft.com,1
Click the link to claim your internship opportunity,careers-meta.org,0
You have been officially accepted as a Microsoft intern,google.com,1
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
Pay ₹999 to receive your certificate,internmail.cc,0
Internship joining instructions from Intel,sap.com,1
"Limited-time internship offer, apply now",careerupdate.online,0
Internship joining instructions from Intel,ibm.com,1
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
"Congratulations, you're selected for internship",verify-now.info,0
Internship offer pending your response,internmail.cc,0
This is to confirm your selection as a Data Science Intern at Amazon,microsoft.com,1
Internship opportunity confirmation from Oracle,amazon.com,1
Verify your credentials to unlock internship offer,careerupdate.online,0
This is to certify your internship at Microsoft,amazon.com,1
This is to confirm your selection as a Data Science Intern at Amazon,adobe.com,1
Kindly pay a processing fee to confirm your internship,careerupdate.online,0
Final reminder to complete your internship registration,hr-google.com,0
Final reminder to complete your internship registration,internship-certificate.xyz,0
"Your resume has been shortlisted, please respond to proceed",intern-checks.net,0
Click the link to claim your internship opportunity,urgent-offer.net,0
Offer letter for Summer Internship at Adobe,intel.com,1
You have been officially accepted as a Microsoft intern,intel.com,1
Offer letter for Summer Internship at Adobe,amazon.com,1
Internship joining instructions from Intel,oracle.com,1
Internship Confirmation Letter from IBM,nvidia.com,1
You have been officially accepted as a Microsoft intern,ibm.com,1
"Congratulations, you're selected for internship",urgent-offer.net,0
Pay ₹999 to receive your certificate,intern-portal.org,0
Internship Confirmation Letter from IBM,sap.com,1
Offer letter for Summer Internship at Adobe,sap.com,1
Internship opportunity confirmation from Oracle,adobe.com,1
You have been officially accepted as a Microsoft intern,ibm.com,1
"Congratulations, you're selected for internship",careerupdate.online,0
You have been officially accepted as a Microsoft intern,amazon.com,1
Urgent: Confirm your internship slot now,internship-certificate.xyz,0
Internship opportunity confirmation from Oracle,nvidia.com,1
Internship Confirmation Letter from IBM,adobe.com,1
Pay ₹999 to receive your certificate,internmail.cc,0
Internship joining instructions from Intel,nvidia.com,1
Pay ₹999 to receive your certificate,jobs-securelink.co,0
This is to certify your internship at Microsoft,microsoft.com,1
This is to certify your internship at Microsoft,amazon.com,1
This is to confirm your selection as a Data Science Intern at Amazon,oracle.com,1
Welcome to the Google Summer Internship Program,amazon.com,1
Internship joining instructions from Intel,intel.com,1
Offer letter for Summer Internship at Adobe,ibm.com,1
NVIDIA welcomes you to the internship program,google.com,1
Final selection list for internship at SAP,ibm.com,1
Final selection list for internship at SAP,sap.com,1
Urgent: Confirm your internship slot now,verify-now.info,0
Final selection list for internship at SAP,nvidia.com,1
Internship offer pending your response,verify-now.info,0
"Your resume has been shortlisted, please respond to proceed",internship-certificate.xyz,0
Internship Confirmation Letter from IBM,oracle.com,1
Verify your credentials to unlock internship offer,internship-certificate.xyz,0
Pay ₹999 to receive your certificate,internship-certificate.xyz,0
Internship Confirmation Letter from IBM,intel.com,1
Internship joining instructions from Intel,microsoft.com,1
Offer letter for Summer Internship at Adobe,intel.com,1
Offer letter for Summer Internship at Adobe,google.com,1
Final reminder to complete your internship registration,internmail.cc,0
Verify your credentials to unlock internship offer,internship-certificate.xyz,0
This is to confirm your selection as a Data Science Intern at Amazon,amazon.com,1
Final selection list for internship at SAP,oracle.com,1
Click the link to claim your internship opportunity,careers-meta.org,0
Internship opportunity confirmation from Oracle,intel.com,1
Pay ₹999 to receive your certificate,jobs-securelink.co,0
Final selection list for internship at SAP,google.com,1
Urgent: Confirm your internship slot now,urgent-offer.net,0
Internship opportunity confirmation from Oracle,google.com,1
Final selection list for internship at SAP,sap.com,1
Final selection list for internship at SAP,microsoft.com,1
Pay ₹999 to receive your certificate,intern-portal.org,0
Final selection list for internship at SAP,oracle.com,1
Final selection list for internship at SAP,google.com,1
Internship opportunity confirmation from Oracle,google.com,1
"Congratulations, you're selected for internship",internship-certificate.xyz,0
Final selection list for internship at SAP,microsoft.com,1
Internship joining instructions from Intel,oracle.com,1
Internship offer pending your response,careerupdate.online,0
This is to certify your internship at Microsoft,oracle.com,1
NVIDIA welcomes you to the internship program,oracle.com,1
You have been officially accepted as a Microsoft intern,amazon.com,1
Verify your credentials to unlock internship offer,hr-google.com,0
This is to certify your internship at Microsoft,amazon.com,1
Internship Confirmation Letter from IBM,google.com,1
This is to confirm your selection as a Data Science Intern at Amazon,sap.com,1
Kindly pay a processing fee to confirm your internship,urgent-offer.net,0
Final selection list for internship at SAP,intel.com,1
This is to confirm your selection as a Data Science Intern at Amazon,google.com,1
Verify your credentials to unlock internship offer,careerupdate.online,0
"Your resume has been shortlisted, please respond to proceed",hr-google.com,0
Pay ₹999 to receive your certificate,verify-now.info,0
This is to confirm your selection as a Data Science Intern at Amazon,nvidia.com,1
"Congratulations, you're selected for internship",jobs-securelink.co,0
Kindly pay a processing fee to confirm your internship,jobs-securelink.co,0
Welcome to the Google Summer Internship Program,google.com,1
"Your resume has been shortlisted, please respond to proceed",intern-checks.net,0
"Limited-time internship offer, apply now",urgent-offer.net,0
Verify your credentials to unlock internship offer,careerupdate.online,0
"Limited-time internship offer, apply now",careerupdate.online,0
Internship joining instructions from Intel,nvidia.com,1
Final reminder to complete your internship registration,verify-now.info,0
Welcome to the Google Summer Internship Program,microsoft.com,1
"Congratulations, you're selected for internship",jobs-securelink.co,0
Welcome to the Google Summer Internship Program,adobe.com,1
Internship opportunity confirmation from Oracle,ibm.com,1
"Limited-time internship offer, apply now",jobs-securelink.co,0
"Your resume has been shortlisted, please respond to proceed",intern-portal.org,0
Internship offer pending your response,urgent-offer.net,0
Internship offer pending your response,internmail.cc,0
NVIDIA welcomes you to the internship program,sap.com,1
Pay ₹999 to receive your certificate,internship-certificate.xyz,0
"Your resume has been shortlisted, please respond to proceed",urgent-offer.net,0
You have been officially accepted as a Microsoft intern,ibm.com,1
Final reminder to complete your internship registration,jobs-securelink.co,0
"Your resume has been shortlisted, please respond to proceed",jobs-securelink.co,0
Pay ₹999 to receive your certificate,hr-google.com,0
Urgent: Confirm your internship slot now,internship-certificate.xyz,0
Welcome to the Google Summer Internship Program,oracle.com,1
You have been officially accepted as a Microsoft intern,nvidia.com,1
This is to confirm your selection as a Data Science Intern at Amazon,sap.com,1
Click the link to claim your internship opportunity,intern-portal.org,0
Kindly pay a processing fee to confirm your internship,careerupdate.online,0
Final reminder to complete your internship registration,careers-meta.org,0
Internship joining instructions from Intel,microsoft.com,1
Internship joining instructions from Intel,nvidia.com,1
Final reminder to complete your internship registration,internship-certificate.xyz,0
Verify your credentials to unlock internship offer,urgent-offer.net,0
NVIDIA welcomes you to the internship program,amazon.com,1
Click the link to claim your internship opportunity,internmail.cc,0
This is to certify your internship at Microsoft,amazon.com,1
Final selection list for internship at SAP,intel.com,1
Click the link to claim your internship opportunity,internmail.cc,0
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
"Your resume has been shortlisted, please respond to proceed",intern-portal.org,0
Kindly pay a processing fee to confirm your internship,careers-meta.org,0
Offer letter for Summer Internship at Adobe,google.com,1
Internship joining instructions from Intel,sap.com,1
Kindly pay a processing fee to confirm your internship,hr-google.com,0
Welcome to the Google Summer Internship Program,intel.com,1
Welcome to the Google Summer Internship Program,microsoft.com,1
This is to certify your internship at Microsoft,adobe.com,1
Internship opportunity confirmation from Oracle,nvidia.com,1
Click the link to claim your internship opportunity,internship-certificate.xyz,0
Internship joining instructions from Intel,google.com,1
Welcome to the Google Summer Internship Program,ibm.com,1
"Your resume has been shortlisted, please respond to proceed",careerupdate.online,0
Internship Confirmation Letter from IBM,nvidia.com,1
Click the link to claim your internship opportunity,internship-certificate.xyz,0
"Your resume has been shortlisted, please respond to proceed",urgent-offer.net,0
Internship opportunity confirmation from Oracle,adobe.com,1
This is to confirm your selection as a Data Science Intern at Amazon,adobe.com,1
Final reminder to complete your internship registration,verify-now.info,0
"Limited-time internship offer, apply now",intern-portal.org,0
Welcome to the Google Summer Internship Program,amazon.com,1
Final selection list for internship at SAP,ibm.com,1
"Limited-time internship offer, apply now",internship-certificate.xyz,0
Pay ₹999 to receive your certificate,urgent-offer.net,0
Internship opportunity confirmation from Oracle,ibm.com,1
Internship joining instructions from Intel,microsoft.com,1
Final selection list for internship at SAP,amazon.com,1
Kindly pay a processing fee to confirm your internship,jobs-securelink.co,0
Final reminder to complete your internship registration,intern-portal.org,0
Click the link to claim your internship opportunity,hr-google.com,0
Kindly pay a processing fee to confirm your internship,verify-now.info,0
Internship Confirmation Letter from IBM,google.com,1
Offer letter for Summer Internship at Adobe,adobe.com,1
NVIDIA welcomes you to the internship program,microsoft.com,1
This is to confirm your selection as a Data Science Intern at Amazon,oracle.com,1
NVIDIA welcomes you to the internship program,nvidia.com,1
Internship offer pending your response,jobs-securelink.co,0
This is to confirm your selection as a Data Science Intern at Amazon,ibm.com,1
Internship opportunity confirmation from Oracle,amazon.com,1
"Limited-time internship offer, apply now",intern-portal.org,0
Verify your credentials to unlock internship offer,intern-checks.net,0
This is to certify your internship at Microsoft,microsoft.com,1
"Your resume has been shortlisted, please respond to proceed",urgent-offer.net,0
"Your resume has been shortlisted, please respond to proceed",careers-meta.org,0
Click the link to claim your internship opportunity,verify-now.info,0
Internship joining instructions from Intel,oracle.com,1
Welcome to the Google Summer Internship Program,intel.com,1
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
This is to confirm your selection as a Data Science Intern at Amazon,amazon.com,1
Verify your credentials to unlock internship offer,intern-portal.org,0
"Your resume has been shortlisted, please respond to proceed",careerupdate.online,0
Final reminder to complete your internship registration,hr-google.com,0
Final selection list for internship at SAP,intel.com,1
Internship offer pending your response,intern-checks.net,0
Internship joining instructions from Intel,microsoft.com,1
Internship opportunity confirmation from Oracle,oracle.com,1
Welcome to the Google Summer Internship Program,adobe.com,1
Urgent: Confirm your internship slot now,intern-portal.org,0
NVIDIA welcomes you to the internship program,oracle.com,1
"Congratulations, you're selected for internship",jobs-securelink.co,0
"Limited-time internship offer, apply now",intern-checks.net,0
Internship Confirmation Letter from IBM,oracle.com,1
This is to confirm your selection as a Data Science Intern at Amazon,microsoft.com,1
This is to confirm your selection as a Data Science Intern at Amazon,ibm.com,1
Click the link to claim your internship opportunity,internmail.cc,0
Final selection list for internship at SAP,intel.com,1
You have been officially accepted as a Microsoft intern,microsoft.com,1
"Congratulations, you're selected for internship",internship-certificate.xyz,0
Internship joining instructions from Intel,microsoft.com,1
Offer letter for Summer Internship at Adobe,google.com,1
Welcome to the Google Summer Internship Program,sap.com,1
This is to confirm your selection as a Data Science Intern at Amazon,microsoft.com,1
Final reminder to complete your internship registration,intern-checks.net,0
Urgent: Confirm your internship slot now,internmail.cc,0
"Your resume has been shortlisted, please respond to proceed",careerupdate.online,0
Verify your credentials to unlock internship offer,careers-meta.org,0
Verify your credentials to unlock internship offer,intern-portal.org,0
You have been officially accepted as a Microsoft intern,ibm.com,1
Internship Confirmation Letter from IBM,amazon.com,1
Pay ₹999 to receive your certificate,hr-google.com,0
Final selection list for internship at SAP,ibm.com,1
Verify your credentials to unlock internship offer,careerupdate.online,0
Pay ₹999 to receive your certificate,careers-meta.org,0
Offer letter for Summer Internship at Adobe,sap.com,1
"Your resume has been shortlisted, please respond to proceed",intern-portal.org,0
Welcome to the Google Summer Internship Program,amazon.com,1
Verify your credentials to unlock internship offer,internmail.cc,0
Welcome to the Google Summer Internship Program,nvidia.com,1
Urgent: Confirm your internship slot now,careers-meta.org,0
Final reminder to complete your internship registration,verify-now.info,0
Kindly pay a processing fee to confirm your internship,intern-portal.org,0
NVIDIA welcomes you to the internship program,intel.com,1
Welcome to the Google Summer Internship Program,oracle.com,1
This is to certify your internship at Microsoft,amazon.com,1
Final selection list for internship at SAP,nvidia.com,1
"Your resume has been shortlisted, please respond to proceed",intern-checks.net,0
You have been officially accepted as a Microsoft intern,microsoft.com,1
Internship opportunity confirmation from Oracle,intel.com,1
"Limited-time internship offer, apply now",intern-portal.org,0
Click the link to claim your internship opportunity,careerupdate.online,0
This is to certify your internship at Microsoft,amazon.com,1
Internship Confirmation Letter from IBM,microsoft.com,1
"Congratulations, you're selected for internship",verify-now.info,0
Welcome to the Google Summer Internship Program,intel.com,1
Welcome to the Google Summer Internship Program,adobe.com,1
Click the link to claim your internship opportunity,intern-checks.net,0
Verify your credentials to unlock internship offer,careerupdate.online,0
Kindly pay a processing fee to confirm your internship,hr-google.com,0
Internship joining instructions from Intel,nvidia.com,1
Final selection list for internship at SAP,intel.com,1
"Congratulations, you're selected for internship",intern-portal.org,0
Urgent: Confirm your internship slot now,verify-now.info,0
This is to confirm your selection as a Data Science Intern at Amazon,oracle.com,1
Pay ₹999 to receive your certificate,careerupdate.online,0
Offer letter for Summer Internship at Adobe,google.com,1
Kindly pay a processing fee to confirm your internship,verify-now.info,0
You have been officially accepted as a Microsoft intern,oracle.com,1
Internship Confirmation Letter from IBM,sap.com,1
"Limited-time internship offer, apply now",careers-meta.org,0
"Limited-time internship offer, apply now",internship-certificate.xyz,0
Final reminder to complete your internship registration,intern-checks.net,0
"Limited-time internship offer, apply now",intern-checks.net,0
This is to certify your internship at Microsoft,microsoft.com,1
This is to certify your internship at Microsoft,google.com,1
This is to confirm your selection as a Data Science Intern at Amazon,nvidia.com,1
Kindly pay a processing fee to confirm your internship,jobs-securelink.co,0
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
Kindly pay a processing fee to confirm your internship,internmail.cc,0
Internship offer pending your response,intern-checks.net,0
Internship offer pending your response,careerupdate.online,0
Pay ₹999 to receive your certificate,careers-meta.org,0
This is to certify your internship at Microsoft,amazon.com,1
Verify your credentials to unlock internship offer,intern-checks.net,0
This is to confirm your selection as a Data Science Intern at Amazon,nvidia.com,1
Offer letter for Summer Internship at Adobe,ibm.com,1
Final reminder to complete your internship registration,intern-checks.net,0
Verify your credentials to unlock internship offer,verify-now.info,0
Internship offer pending your response,urgent-offer.net,0
Internship opportunity confirmation from Oracle,sap.com,1
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
Final reminder to complete your internship registration,intern-portal.org,0
Final reminder to complete your internship registration,urgent-offer.net,0
Kindly pay a processing fee to confirm your internship,jobs-securelink.co,0
Internship Confirmation Letter from IBM,adobe.com,1
Internship opportunity confirmation from Oracle,google.com,1
Internship joining instructions from Intel,ibm.com,1
Internship offer pending your response,intern-checks.net,0
Kindly pay a processing fee to confirm your internship,verify-now.info,0
This is to certify your internship at Microsoft,adobe.com,1
"Limited-time internship offer, apply now",jobs-securelink.co,0
Urgent: Confirm your internship slot now,hr-google.com,0
Pay ₹999 to receive your certificate,jobs-securelink.co,0
This is to certify your internship at Microsoft,oracle.com,1
"Congratulations, you're selected for internship",internship-certificate.xyz,0
Internship joining instructions from Intel,intel.com,1
"Your resume has been shortlisted, please respond to proceed",internship-certificate.xyz,0
Pay ₹999 to receive your certificate,internmail.cc,0
Urgent: Confirm your internship slot now,jobs-securelink.co,0
Offer letter for Summer Internship at Adobe,amazon.com,1
"Limited-time internship offer, apply now",careers-meta.org,0
Internship offer pending your response,intern-portal.org,0
Internship opportunity confirmation from Oracle,oracle.com,1
Click the link to claim your internship opportunity,hr-google.com,0
Internship opportunity confirmation from Oracle,google.com,1
This is to confirm your selection as a Data Science Intern at Amazon,sap.com,1
You have been officially accepted as a Microsoft intern,nvidia.com,1
Click the link to claim your internship opportunity,hr-google.com,0
Final selection list for internship at SAP,amazon.com,1
This is to certify your internship at Microsoft,google.com,1
Final selection list for internship at SAP,intel.com,1
"Your resume has been shortlisted, please respond to proceed",internmail.cc,0
Click the link to claim your internship opportunity,hr-google.com,0
This is to certify your internship at Microsoft,oracle.com,1
NVIDIA welcomes you to the internship program,amazon.com,1
You have been officially accepted as a Microsoft intern,ibm.com,1
Pay ₹999 to receive your certificate,jobs-securelink.co,0
This is to certify your internship at Microsoft,ibm.com,1
"Congratulations, you're selected for internship",urgent-offer.net,0
Final selection list for internship at SAP,microsoft.com,1
Final selection list for internship at SAP,nvidia.com,1
This is to certify your internship at Microsoft,nvidia.com,1
Final reminder to complete your internship registration,intern-portal.org,0
This is to certify your internship at Microsoft,intel.com,1
"Your resume has been shortlisted, please respond to proceed",urgent-offer.net,0
Welcome to the Google Summer Internship Program,ibm.com,1
Welcome to the Google Summer Internship Program,adobe.com,1
"Limited-time internship offer, apply now",internship-certificate.xyz,0
"Limited-time internship offer, apply now",careerupdate.online,0
Internship offer pending your response,careers-meta.org,0
"Your resume has been shortlisted, please respond to proceed",hr-google.com,0
Kindly pay a processing fee to confirm your internship,jobs-securelink.co,0
Kindly pay a processing fee to confirm your internship,jobs-securelink.co,0
Kindly pay a processing fee to confirm your internship,internmail.cc,0
Urgent: Confirm your internship slot now,intern-portal.org,0
"Your resume has been shortlisted, please respond to proceed",careerupdate.online,0
Pay ₹999 to receive your certificate,internship-certificate.xyz,0
Final reminder to complete your internship registration,internmail.cc,0
Pay ₹999 to receive your certificate,verify-now.info,0
This is to certify your internship at Microsoft,oracle.com,1
You have been officially accepted as a Microsoft intern,ibm.com,1
Kindly pay a processing fee to confirm your internship,internmail.cc,0
Urgent: Confirm your internship slot now,jobs-securelink.co,0
Click the link to claim your internship opportunity,careers-meta.org,0
Urgent: Confirm your internship slot now,careers-meta.org,0
Verify your credentials to unlock internship offer,urgent-offer.net,0
You have been officially accepted as a Microsoft intern,adobe.com,1
Urgent: Confirm your internship slot now,intern-checks.net,0
"Limited-time internship offer, apply now",internmail.cc,0
Offer letter for Summer Internship at Adobe,microsoft.com,1
Click the link to claim your internship opportunity,hr-google.com,0
Verify your credentials to unlock internship offer,urgent-offer.net,0
Click the link to claim your internship opportunity,verify-now.info,0
Final selection list for internship at SAP,amazon.com,1
This is to confirm your selection as a Data Science Intern at Amazon,sap.com,1
Final reminder to complete your internship registration,intern-portal.org,0
This is to confirm your selection as a Data Science Intern at Amazon,ibm.com,1
"Congratulations, you're selected for internship",intern-portal.org,0
Internship Confirmation Letter from IBM,sap.com,1
Kindly pay a processing fee to confirm your internship,internmail.cc,0
Internship offer pending your response,internship-certificate.xyz,0
Internship opportunity confirmation from Oracle,intel.com,1
This is to certify your internship at Microsoft,microsoft.com,1
This is to certify your internship at Microsoft,microsoft.com,1
Internship offer pending your response,intern-checks.net,0
This is to certify your internship at Microsoft,intel.com,1
Pay ₹999 to receive your certificate,internmail.cc,0
"Congratulations, you're selected for internship",internmail.cc,0
Internship offer pending your response,urgent-offer.net,0
Final reminder to complete your internship registration,careers-meta.org,0
Internship Confirmation Letter from IBM,amazon.com,1
Internship offer pending your response,verify-now.info,0
Offer letter for Summer Internship at Adobe,adobe.com,1
Verify your credentials to unlock internship offer,intern-portal.org,0
Urgent: Confirm your internship slot now,careers-meta.org,0
"Your resume has been shortlisted, please respond to proceed",verify-now.info,0
"Congratulations, you're selected for internship",intern-checks.net,0
Offer letter for Summer Internship at Adobe,adobe.com,1
Offer letter for Summer Internship at Adobe,nvidia.com,1
Welcome to the Google Summer Internship Program,intel.com,1
This is to confirm your selection as a Data Science Intern at Amazon,amazon.com,1
NVIDIA welcomes you to the internship program,adobe.com,1
NVIDIA welcomes you to the internship program,oracle.com,1
Pay ₹999 to receive your certificate,internship-certificate.xyz,0
Internship joining instructions from Intel,nvidia.com,1
Internship offer pending your response,intern-portal.org,0
Internship joining instructions from Intel,amazon.com,1
Pay ₹999 to receive your certificate,internship-certificate.xyz,0
Internship joining instructions from Intel,oracle.com,1
Verify your credentials to unlock internship offer,jobs-securelink.co,0
Internship joining instructions from Intel,intel.com,1
This is to confirm your selection as a Data Science Intern at Amazon,amazon.com,1
Final reminder to complete your internship registration,internmail.cc,0
Pay ₹999 to receive your certificate,intern-checks.net,0
"Congratulations, you're selected for internship",jobs-securelink.co,0
This is to confirm your selection as a Data Science Intern at Amazon,google.com,1
Urgent: Confirm your internship slot now,intern-portal.org,0
"Limited-time internship offer, apply now",hr-google.com,0
Internship offer pending your response,hr-google.com,0
This is to confirm your selection as a Data Science Intern at Amazon,oracle.com,1
"Congratulations, you're selected for internship",careerupdate.online,0
Internship opportunity confirmation from Oracle,adobe.com,1
"Your resume has been shortlisted, please respond to proceed",intern-portal.org,0
Urgent: Confirm your internship slot now,intern-checks.net,0
Urgent: Confirm your internship slot now,verify-now.info,0
NVIDIA welcomes you to the internship program,oracle.com,1
Welcome to the Google Summer Internship Program,amazon.com,1
Internship Confirmation Letter from IBM,google.com,1
Urgent: Confirm your internship slot now,careers-meta.org,0
"Your resume has been shortlisted, please respond to proceed",intern-checks.net,0
Kindly pay a processing fee to confirm your internship,careers-meta.org,0
Internship Confirmation Letter from IBM,ibm.com,1
Verify your credentials to unlock internship offer,careers-meta.org,0
Welcome to the Google Summer Internship Program,ibm.com,1
