text_content,label
"You have unclaimed money of $8000. Retrieve: unclaimed-cash.tk",0
"Your Netflix recommendation: Based on your viewing, try 'Stranger Things'.",1
"Your computer warranty has expired. Renew now: warranty-renewal.ml",0
"Congratulations! Your startup has been selected for Y Combinator program.",1
"URGENT: Your social security benefits will stop: social-security.ga",0
"Your internship certificate from Indian Institute of Science, Bangalore.",1
"You've been chosen for paid survey. Earn $500 daily: survey-money.cf",0
"Your Steam account purchase of Cyberpunk 2077 game completed successfully.",1
"Your Medicare coverage will end unless you call: medicare-urgent.tk",0
"Dear candidate, your technical interview for Google SDE role scheduled tomorrow.",1
"Your phone has been infected with malware. Remove now: phone-cleaner.ml",0
"Your internship completion certificate from Microsoft Azure Cloud team.",1
"FINAL WARNING: Your domain will expire. Renew: domain-renewal.ga",0
"Your Coursera course 'Machine Learning by Andrew Ng' certificate ready.",1
"You owe $3000 in student loans. Pay now to avoid legal action: loan-payment.cf",0
"Your job application for Data Scientist at OpenAI has been shortlisted.",1
"Your car warranty is about to expire. Extend coverage: auto-warranty.tk",0
"Dear intern, your summer internship at NASA Jet Propulsion Lab confirmed.",1
"Your credit card has been cloned. Verify details: card-security.ml",0
"Your acceptance letter for PhD program at Carnegie Mellon University.",1
"You qualify for $20000 business loan. No credit check: easy-business-loan.ga",0
"Your internship offer from Tesla Autopilot AI team for summer 2025.",1
"Your internet provider bill is overdue. Service suspended: isp-billing.cf",0
"Your admission to Harvard Business School MBA program is confirmed.",1
"You've been randomly selected for cash prize. Claim $7500: random-winner.tk",0
"Your software engineering internship at Adobe Creative Cloud division.",1
"Your Amazon account was accessed from suspicious location: amazon-security.ml",0
"Dear student, your research paper has been accepted for publication in IEEE.",1
"Your home insurance claim approved for $25000. Process payment: insurance-claim.ga",0
"Your internship completion from Indian Space Research Organisation (ISRO).",1
"URGENT: Your PayPal account limited. Resolve issue: paypal-resolution.cf",0
"Your acceptance to Cambridge University Master's program in AI confirmed.",1
"You've won iPhone 15 Pro Max from Apple giveaway: apple-giveaway.tk",0
"Your software development internship at Uber self-driving car team.",1
"Your eBay account has been compromised. Secure now: ebay-security.ml",0
"Dear researcher, your grant proposal has been approved by National Science Foundation.",1
"Your electricity bill is overdue. Pay $1200 immediately: utility-emergency.ga",0
"Your internship certificate from Goldman Sachs quantitative trading desk.",1
"You've been pre-selected for personal loan of ₹10 lakhs: instant-loan.cf",0
"Your research internship at MIT Computer Science and Artificial Intelligence Lab.",1
"Your Spotify account accessed from unknown device. Verify: spotify-verify.tk",0
"Your acceptance to Stanford PhD program in Computer Science confirmed.",1
"URGENT: Your internet banking will be blocked. Activate: net-banking.ml",0
"Your data science internship at Facebook Reality Labs division completed.",1
"You owe money to IRS. Pay $5000 or face arrest: irs-emergency.ga",0
"Your cybersecurity internship certificate from Lockheed Martin corporation.",1
"Your Gmail storage is full. Upgrade now or lose emails: gmail-storage.cf",0
"Your machine learning research internship at DeepMind Technologies London.",1
"Your phone carrier bill is overdue. Service will be cut: carrier-bill.tk",0
"Your AI research internship completion from OpenAI San Francisco office.",1
"Your Microsoft account was hacked. Change password: microsoft-hack.ml",0
"Dear candidate, your offer for Principal Engineer at Amazon Web Services.",1
"You qualify for government stimulus check of $3200: stimulus-payment.ga",0
"Your blockchain development internship at Coinbase cryptocurrency exchange.",1
"Your router has been hacked. Update firmware immediately: router-security.cf",0
"Your robotics internship certificate from Boston Dynamics engineering team.",1
"URGENT: Your prescription drug coverage ending. Renew: medicare-drugs.tk",0
"Your quantum computing research internship at IBM Quantum Network lab.",1
"Your Netflix account suspended due to payment issue: netflix-payment.ml",0
"Your cloud computing internship completion from Amazon Web Services team.",1
"You've been selected for mystery shopping job. Earn $800 weekly: mystery-shop.ga",0
text_content	label
Congratulation! You have won an internship from scamjobs.io. Share your Aadhaar to confirm.	0
Get an instant internship! Pay 399 and get placed in top MNCs. Visit verify-later.org now!	0
Certificate of internship: The bearer of this letter, Alice, is certified for internship at Amazon.	1
You’ve been selected for an internship. Send your ID proof to fraudsite.info.	0
Internship letter: You are selected for a 4-month internship at WIPRO.	1
We confirm that Bob Smith successfully completed a project-based internship at Infosys during September–June.	1
This letter serves as an official certificate of internship for Alice at Amazon, under the Marketing department.	1
We confirm that Alice successfully completed a project-based internship at Microsoft during March–November.	1
Certificate of internship: The bearer of this letter, Bob Smith, is certified for internship at Amazon.	1
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at Microsoft.	1
Secure your certificate now! Internship confirmed at fakeinternship.co after payment.	0
Congratulation! You have won an internship from verify-later.org. Share your Aadhaar to confirm.	0
Certificate of internship: The bearer of this letter, Alice, is certified for internship at Microsoft.	1
Certificate of internship: The bearer of this letter, Daniel Lee, is certified for internship at WIPRO.	1
Urgent! Your internship slot at random-fake.com awaits. Send documents to fraudsite.info.	0
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Internship letter: You are selected for a 2-month internship at Google.	1
We confirm that Daniel Lee successfully completed a project-based internship at WIPRO during June–July.	1
Internship letter: You are selected for a 6-month internship at Microsoft.	1
Internship letter: You are selected for a 6-month internship at TCS.	1
Urgent! Your internship slot at fakeinternship.co awaits. Send documents to unverified-company.net.	0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
Internship letter: You are selected for a 1-month internship at Microsoft.	1
You’ve been selected for an internship. Send your ID proof to fraudsite.info.	0
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at WIPRO.	1
You’ve been selected for an internship. Send your ID proof to fraudsite.info.	0
We confirm that John Doe successfully completed a project-based internship at WIPRO during August–August.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Internship letter: You are selected for a 5-month internship at Microsoft.	1
Certificate of internship: The bearer of this letter, Alice, is certified for internship at Amazon.	1
Secure your certificate now! Internship confirmed at quickjobsnow.biz after payment.	0
Urgent! Your internship slot at fakeinternship.co awaits. Send documents to sketchyplace.com.	0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
Urgent! Your internship slot at verify-later.org awaits. Send documents to unverified-company.net.	0
Internship letter: You are selected for a 3-month internship at WIPRO.	1
Internship letter: You are selected for a 3-month internship at Amazon.	1
Get an instant internship! Pay 299 and get placed in top MNCs. Visit scamjobs.io now!	0
Internship letter: You are selected for a 6-month internship at Infosys.	1
Secure your certificate now! Internship confirmed at random-fake.com after payment.	0
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at Amazon.	1
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at Google.	1
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
Congratulation! You have won an internship from fakeinternship.co. Share your Aadhaar to confirm.	0
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at Microsoft.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
This is to certify that Bob Smith has completed an internship at Microsoft from October to April.	1
We confirm that John Doe successfully completed a project-based internship at Amazon during February–September.	1
This letter serves as an official certificate of internship for Eva Brown at WIPRO, under the Marketing department.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.	0
This letter serves as an official certificate of internship for John Doe at TCS, under the Marketing department.	1
This letter serves as an official certificate of internship for Clara Johnson at Microsoft, under the Design department.	1
Secure your certificate now! Internship confirmed at random-fake.com after payment.	0
We confirm that Bob Smith successfully completed a project-based internship at Amazon during June–February.	1
This letter serves as an official certificate of internship for Alice at Infosys, under the Research department.	1
This is to certify that John Doe has completed an internship at TCS from October to April.	1
Urgent! Your internship slot at random-fake.com awaits. Send documents to unverified-company.net.	0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
This letter serves as an official certificate of internship for Alice at TCS, under the Design department.	1
We confirm that Daniel Lee successfully completed a project-based internship at Amazon during September–October.	1
This is to certify that Daniel Lee has completed an internship at WIPRO from April to December.	1
We confirm that Clara Johnson successfully completed a project-based internship at Microsoft during July–June.	1
Urgent! Your internship slot at quickjobsnow.biz awaits. Send documents to sketchyplace.com.	0
This is to certify that John Doe has completed an internship at Infosys from September to February.	1
Internship letter: You are selected for a 4-month internship at Amazon.	1
This is to certify that Bob Smith has completed an internship at Infosys from August to March.	1
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Urgent! Your internship slot at quickjobsnow.biz awaits. Send documents to fraudsite.info.	0
Get an instant internship! Pay 599 and get placed in top MNCs. Visit scamjobs.io now!	0
Certificate of internship: The bearer of this letter, Daniel Lee, is certified for internship at Infosys.	1
This letter serves as an official certificate of internship for Eva Brown at Amazon, under the Design department.	1
Secure your certificate now! Internship confirmed at random-fake.com after payment.	0
We confirm that Alice successfully completed a project-based internship at Infosys during May–January.	1
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at TCS.	1
We confirm that Daniel Lee successfully completed a project-based internship at Google during March–February.	1
This is to certify that John Doe has completed an internship at Microsoft from February to August.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
We confirm that Bob Smith successfully completed a project-based internship at Microsoft during April–May.	1
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.	0
Get an instant internship! Pay 599 and get placed in top MNCs. Visit getinternsnow.biz now!	0
Internship letter: You are selected for a 1-month internship at Infosys.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
We confirm that John Doe successfully completed a project-based internship at WIPRO during January–October.	1
This letter serves as an official certificate of internship for John Doe at Google, under the Engineering department.	1
We confirm that Clara Johnson successfully completed a project-based internship at Amazon during January–August.	1
Secure your certificate now! Internship confirmed at random-fake.com after payment.	0
This is to certify that Daniel Lee has completed an internship at Amazon from October to November.	1
Urgent! Your internship slot at scamjobs.io awaits. Send documents to unverified-company.net.	0
Internship letter: You are selected for a 4-month internship at Microsoft.	1
Get an instant internship! Pay 399 and get placed in top MNCs. Visit random-fake.com now!	0
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Internship letter: You are selected for a 6-month internship at Amazon.	1
This letter serves as an official certificate of internship for Eva Brown at WIPRO, under the Design department.	1
Certificate of internship: The bearer of this letter, Bob Smith, is certified for internship at TCS.	1
Congratulation! You have won an internship from verify-later.org. Share your Aadhaar to confirm.	0
We confirm that John Doe successfully completed a project-based internship at Infosys during July–June.	1
This letter serves as an official certificate of internship for John Doe at Microsoft, under the Marketing department.	1
Internship letter: You are selected for a 2-month internship at TCS.	1
This letter serves as an official certificate of internship for Eva Brown at Microsoft, under the HR department.	1
This is to certify that Eva Brown has completed an internship at Infosys from October to July.	1
Internship letter: You are selected for a 3-month internship at Infosys.	1
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.	0
This letter serves as an official certificate of internship for Daniel Lee at Infosys, under the Engineering department.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Secure your certificate now! Internship confirmed at fakeinternship.co after payment.	0
We confirm that Alice successfully completed a project-based internship at Infosys during May–April.	1
Get an instant internship! Pay 499 and get placed in top MNCs. Visit quickjobsnow.biz now!	0
We confirm that Alice successfully completed a project-based internship at WIPRO during March–April.	1
You’ve been selected for an internship. Send your ID proof to fraudsite.info.	0
Congratulation! You have won an internship from scamjobs.io. Share your Aadhaar to confirm.	0
Get an instant internship! Pay 299 and get placed in top MNCs. Visit random-fake.com now!	0
This letter serves as an official certificate of internship for Eva Brown at Google, under the HR department.	1
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Internship letter: You are selected for a 3-month internship at Google.	1
Certificate of internship: The bearer of this letter, Bob Smith, is certified for internship at Amazon.	1
Certificate of internship: The bearer of this letter, Daniel Lee, is certified for internship at Google.	1
Congratulation! You have won an internship from quickjobsnow.biz. Share your Aadhaar to confirm.	0
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Congratulation! You have won an internship from verify-later.org. Share your Aadhaar to confirm.	0
Internship letter: You are selected for a 1-month internship at Microsoft.	1
This is to certify that John Doe has completed an internship at Microsoft from July to January.	1
Certificate of internship: The bearer of this letter, John Doe, is certified for internship at Microsoft.	1
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at TCS.	1
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.	0
We confirm that Bob Smith successfully completed a project-based internship at Google during February–April.	1
We confirm that Bob Smith successfully completed a project-based internship at TCS during July–October.	1
This is to certify that Alice has completed an internship at TCS from January to October.	1
Certificate of internship: The bearer of this letter, Alice, is certified for internship at Amazon.	1
This is to certify that Bob Smith has completed an internship at Google from August to August.	1
Congratulation! You have won an internship from fakeinternship.co. Share your Aadhaar to confirm.	0
This letter serves as an official certificate of internship for John Doe at Infosys, under the Marketing department.	1
Get an instant internship! Pay 399 and get placed in top MNCs. Visit fakeinternship.co now!	0
Certificate of internship: The bearer of this letter, Daniel Lee, is certified for internship at WIPRO.	1
This letter serves as an official certificate of internship for Alice at Google, under the HR department.	1
You’ve been selected for an internship. Send your ID proof to fraudsite.info.	0
This letter serves as an official certificate of internship for John Doe at Amazon, under the HR department.	1
Secure your certificate now! Internship confirmed at verify-later.org after payment.	0
Get an instant internship! Pay 399 and get placed in top MNCs. Visit verify-later.org now!	0
This is to certify that Daniel Lee has completed an internship at Microsoft from September to September.	1
Certificate of internship: The bearer of this letter, Bob Smith, is certified for internship at TCS.	1
This is to certify that Daniel Lee has completed an internship at TCS from November to April.	1
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at Infosys.	1
Get an instant internship! Pay 399 and get placed in top MNCs. Visit getinternsnow.biz now!	0
Certificate of internship: The bearer of this letter, John Doe, is certified for internship at WIPRO.	1
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.	0
Congratulation! You have won an internship from fakeinternship.co. Share your Aadhaar to confirm.	0
This is to certify that Alice has completed an internship at Google from October to August.	1
You’ve been selected for an internship. Send your ID proof to fraudsite.info.	0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
Secure your certificate now! Internship confirmed at fakeinternship.co after payment.	0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.	0
This letter serves as an official certificate of internship for Clara Johnson at Microsoft, under the Design department.	1
Urgent! Your internship slot at scamjobs.io awaits. Send documents to fraudsite.info.	0
Internship letter: You are selected for a 3-month internship at Microsoft.	1
This letter serves as an official certificate of internship for John Doe at Google, under the HR department.	1
Internship letter: You are selected for a 2-month internship at Infosys.	1
Internship letter: You are selected for a 2-month internship at WIPRO.	1
Secure your certificate now! Internship confirmed at fakeinternship.co after payment.	0
Get an instant internship! Pay 399 and get placed in top MNCs. Visit random-fake.com now!	0
This letter serves as an official certificate of internship for Daniel Lee at Google, under the Research department.	1
Get an instant internship! Pay 499 and get placed in top MNCs. Visit getinternsnow.biz now!	0
Certificate of internship: The bearer of this letter, Clara Johnson, is certified for internship at Amazon.	1
This letter serves as an official certificate of internship for Daniel Lee at Infosys, under the Research department.	1
Urgent! Your internship slot at random-fake.com awaits. Send documents to fraudsite.info.	0
We confirm that Clara Johnson successfully completed a project-based internship at Microsoft during May–October.	1
Get an instant internship! Pay 599 and get placed in top MNCs. Visit scamjobs.io now!	0
This is to certify that Daniel Lee has completed an internship at Microsoft from April to November.	1
Get an instant internship! Pay 299 and get placed in top MNCs. Visit fakeinternship.co now!	0
Get an instant internship! Pay 499 and get placed in top MNCs. Visit quickjobsnow.biz now!	0
Internship letter: You are selected for a 2-month internship at TCS.	1
This letter serves as an official certificate of internship for Eva Brown at Google, under the Research department.	1
Internship letter: You are selected for a 6-month internship at TCS.	1
Urgent! Your internship slot at random-fake.com awaits. Send documents to fraudsite.info.	0
Get an instant internship! Pay 599 and get placed in top MNCs. Visit getinternsnow.biz now!	0
We confirm that Bob Smith successfully completed a project-based internship at Microsoft during June–August.	1
Urgent! Your internship slot at fakeinternship.co awaits. Send documents to sketchyplace.com.	0
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at Google.	1
Internship letter: You are selected for a 5-month internship at Infosys.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Certificate of internship: The bearer of this letter, Daniel Lee, is certified for internship at Google.	1
Get an instant internship! Pay 399 and get placed in top MNCs. Visit verify-later.org now!	0
Get an instant internship! Pay 299 and get placed in top MNCs. Visit fakeinternship.co now!	0
This letter serves as an official certificate of internship for Daniel Lee at Infosys, under the Marketing department.	1
We confirm that Bob Smith successfully completed a project-based internship at Infosys during August–March.	1
This is to certify that Alice has completed an internship at WIPRO from June to October.	1
Secure your certificate now! Internship confirmed at quickjobsnow.biz after payment.	0
We confirm that Alice successfully completed a project-based internship at Infosys during May–September.	1
This letter serves as an official certificate of internship for Clara Johnson at Microsoft, under the Engineering department.	1
Get an instant internship! Pay 499 and get placed in top MNCs. Visit getinternsnow.biz now!	0
This is to certify that Daniel Lee has completed an internship at Microsoft from July to November.	1
Urgent! Your internship slot at quickjobsnow.biz awaits. Send documents to sketchyplace.com.	0
Certificate of internship: The bearer of this letter, Clara Johnson, is certified for internship at Google.	1
We confirm that Eva Brown successfully completed a project-based internship at WIPRO during December–April.	1
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.	0
Certificate of internship: The bearer of this letter, Clara Johnson, is certified for internship at Infosys.	1
Congratulation! You have won an internship from fakeinternship.co. Share your Aadhaar to confirm.	0
We confirm that John Doe successfully completed a project-based internship at Amazon during April–April.	1
Internship letter: You are selected for a 1-month internship at Infosys.	1
Certificate of internship: The bearer of this letter, Eva Brown, is certified for internship at WIPRO.	1
Certificate of internship: The bearer of this letter, John Doe, is certified for internship at Google.	1
This letter serves as an official certificate of internship for Clara Johnson at Microsoft, under the Design department.	1
We confirm that Clara Johnson successfully completed a project-based internship at WIPRO during April–February.	1
Certificate of internship: The bearer of this letter, Daniel Lee, is certified for internship at Google.	1
This letter serves as an official certificate of internship for Bob Smith at WIPRO, under the Engineering department.	1
Urgent! Your internship slot at random-fake.com awaits. Send documents to fraudsite.info.	0
We confirm that Alice successfully completed a project-based internship at Infosys during May–August.	1
Secure your certificate now! Internship confirmed at quickjobsnow.biz after payment.	0
You’ve been selected for an internship. Send your ID proof to fraudsite.info.	0
Internship letter: You are selected for a 1-month internship at Amazon.	1
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Get an instant internship! Pay 399 and get placed in top MNCs. Visit verify-later.org now!	0
Secure your certificate now! Internship confirmed at quickjobsnow.biz after payment.	0
Certificate of internship: The bearer of this letter, Bob Smith, is certified for internship at TCS.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
This is to certify that Clara Johnson has completed an internship at Microsoft from December to September.	1
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Internship letter: You are selected for a 4-month internship at Infosys.	1
Secure your certificate now! Internship confirmed at getinternsnow.biz after payment.	0
This letter serves as an official certificate of internship for Alice at Google, under the Research department.	1
Secure your certificate now! Internship confirmed at random-fake.com after payment.	0
This letter serves as an official certificate of internship for John Doe at WIPRO, under the Engineering department.	1
Urgent! Your internship slot at scamjobs.io awaits. Send documents to unverified-company.net.	0
Certificate of internship: The bearer of this letter, Daniel Lee, is certified for internship at TCS.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Urgent! Your internship slot at quickjobsnow.biz awaits. Send documents to unverified-company.net.	0
Get an instant internship! Pay 399 and get placed in top MNCs. Visit scamjobs.io now!	0
We confirm that Daniel Lee successfully completed a project-based internship at Microsoft during September–November.	1
Congratulation! You have won an internship from getinternsnow.biz. Share your Aadhaar to confirm.	0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Urgent! Your internship slot at random-fake.com awaits. Send documents to sketchyplace.com.	0
This letter serves as an official certificate of internship for Daniel Lee at TCS, under the Research department.	1
Get an instant internship! Pay 399 and get placed in top MNCs. Visit random-fake.com now!	0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
Urgent! Your internship slot at fakeinternship.co awaits. Send documents to fraudsite.info.	0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
Secure your certificate now! Internship confirmed at random-fake.com after payment.	0
This letter serves as an official certificate of internship for Alice at Microsoft, under the Engineering department.	1
Urgent! Your internship slot at fakeinternship.co awaits. Send documents to unverified-company.net.	0
Internship letter: You are selected for a 6-month internship at WIPRO.	1
Get an instant internship! Pay 499 and get placed in top MNCs. Visit fakeinternship.co now!	0
This letter serves as an official certificate of internship for Alice at WIPRO, under the Design department.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
We confirm that Alice successfully completed a project-based internship at TCS during January–January.	1
We confirm that Bob Smith successfully completed a project-based internship at Google during July–July.	1
This is to certify that Clara Johnson has completed an internship at Microsoft from November to August.	1
This is to certify that Daniel Lee has completed an internship at WIPRO from March to April.	1
This is to certify that Eva Brown has completed an internship at Microsoft from June to January.	1
Urgent! Your internship slot at random-fake.com awaits. Send documents to fraudsite.info.	0
Secure your certificate now! Internship confirmed at quickjobsnow.biz after payment.	0
This letter serves as an official certificate of internship for Bob Smith at Infosys, under the Research department.	1
Secure your certificate now! Internship confirmed at fakeinternship.co after payment.	0
Secure your certificate now! Internship confirmed at scamjobs.io after payment.	0
Secure your certificate now! Internship confirmed at random-fake.com after payment.	0
Internship letter: You are selected for a 2-month internship at Microsoft.	1
We confirm that Daniel Lee successfully completed a project-based internship at WIPRO during August–April.	1
Internship letter: You are selected for a 4-month internship at WIPRO.	1
Secure your certificate now! Internship confirmed at verify-later.org after payment.	0
Get an instant internship! Pay 299 and get placed in top MNCs. Visit scamjobs.io now!	0
Congratulation! You have won an internship from random-fake.com. Share your Aadhaar to confirm.	0
This letter serves as an official certificate of internship for John Doe at Amazon, under the HR department.	1
Congratulation! You have won an internship from scamjobs.io. Share your Aadhaar to confirm.	0
Urgent! Your internship slot at scamjobs.io awaits. Send documents to fraudsite.info.	0
Urgent! Your internship slot at verify-later.org awaits. Send documents to unverified-company.net.	0
Secure your certificate now! Internship confirmed at verify-later.org after payment.	0
This letter serves as an official certificate of internship for John Doe at Amazon, under the Engineering department.	1
Internship letter: You are selected for a 4-month internship at Microsoft.	1
You’ve been selected for an internship. Send your ID proof to unverified-company.net.	0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Secure your certificate now! Internship confirmed at getinternsnow.biz after payment.	0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Urgent! Your internship slot at random-fake.com awaits. Send documents to unverified-company.net.	0
This is to certify that Clara Johnson has completed an internship at Infosys from October to September.	1
Internship letter: You are selected for a 3-month internship at Infosys.	1
Get an instant internship! Pay 499 and get placed in top MNCs. Visit verify-later.org now!	0
Urgent! Your internship slot at getinternsnow.biz awaits. Send documents to sketchyplace.com.	0
Urgent! Your internship slot at verify-later.org awaits. Send documents to fraudsite.info.	0
We confirm that Eva Brown successfully completed a project-based internship at Infosys during April–July.	1
Secure your certificate now! Internship confirmed at fakeinternship.co after payment.	0
Urgent! Your internship slot at random-fake.com awaits. Send documents to fraudsite.info.	0
We confirm that Bob Smith successfully completed a project-based internship at Infosys during August–March.	1
Certificate of internship: The bearer of this letter, Bob Smith, is certified for internship at Microsoft.	1
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
You’ve been selected for an internship. Send your ID proof to sketchyplace.com.	0
Certificate of internship: The bearer of this letter, John Doe, is certified for internship at TCS.	1
Internship letter: You are selected for a 2-month internship at WIPRO.	1
Certificate of internship: The bearer of this letter, Daniel Lee, is certified for internship at Microsoft.	1
Urgent! Your internship slot at getinternsnow.biz awaits. Send documents to fraudsite.info.	0
Internship letter: You are selected for a 3-month internship at Infosys.	1
Congratulation! You have won an internship from fakeinternship.co. Share your Aadhaar to confirm.	0
Get an instant internship! Pay 399 and get placed in top MNCs. Visit verify-later.org now!	0
We confirm that Alice successfully completed a project-based internship at Infosys during June–July.	1
